station_code,latitude,longitude,elevation,network_code
BNDI,-4.5224,129.9045,16.0,GE
GENI,-2.5927,140.1678,47.0,GE
HALK,6.0885,80.6805,42.0,GE
HALK,6.0877,80.6806,120.0,GE
MALK,8.39682,80.54254,113.0,GE
SANI,-2.0496,125.9881,30.0,GE
SBV,-13.4584,49.9212,65.0,GE
VOI,-21.90648,46.79327,1158.0,GE
AAI,-3.6871,128.1943,157.2,IA
BAKI,-1.19145,136.10702,89.0,IA
BSI,5.4964,95.2961,192.0,IA
KSI,-3.6517,102.5929,539.0,IA
LEM,-6.8266,107.61756,1293.0,IA
LEM,-6.82325,107.6143,1200.0,IA
MMPI,-8.5181,140.4141,98.57,IA
PCI,-0.9054,119.8366,150.0,IA
PPI,-0.4568,100.397,0.0,IA
SWI,-0.8628,131.2592,128.88,IA
TLE,-5.6373,132.7373,113.0,IA
WSI,-9.6689,120.297666,48.0,IA
APZ,-46.831806,167.988825,601.0,NZ
DCZ,-45.464713,167.153533,71.0,NZ
BESE,58.5792,-134.8559,867.0,AK
FYU,66.5657,-145.2342,137.0,AK
JIS,58.2758,-134.3848,10.0,AK
MESA,60.1785,-141.9505,1919.0,AK
NIKH,52.9721,-168.855,199.0,AK
SPIA,57.1766,-170.2477,84.0,AK
TNA,65.5598,-167.9267,74.0,AK
UNV,53.8452,-166.5045,65.0,AK
AKUT,54.13517,-165.77185,19.2,AT
CRAG,55.46894,-133.12297,57.9,AT
OHAK,57.2225,-153.2875,77.5,AT
SDPT,55.3493,-160.4766,74.0,AT
SMY,52.7308,174.1031,58.0,AT
ARMA,-30.4198,151.628,1112.0,AU
ARMA,-30.4183,151.6293,1112.0,AU
ARPS,-36.7699,141.8383,213.0,AU
BBOO,-32.8096,136.0583,295.0,AU
BBOO,-32.8102,136.0588,321.0,AU
BLDU,-30.6147,116.7091,280.0,AU
BN1H,-27.4306,153.024,710.0,AU
BN2S,-27.3293,153.0477,8.0,AU
BRAT,-37.5489,143.933,503.0,AU
BW1H,-20.0045,148.2361,63.0,AU
BW2S,-19.9984,148.2232,7.0,AU
CARL,-31.9835,115.9267,2.0,AU
CMSA,-31.5375,145.6916,220.0,AU
CN1H,-16.911,145.7106,149.0,AU
CN2S,-17.0215,145.7238,56.0,AU
CNB,-35.3124,149.362,870.0,AU
CNB,-35.315,149.3633,853.0,AU
COEN,-13.9563,143.1757,240.0,AU
COEN,-13.9574,143.1749,285.4,AU
CORO,-41.4522,147.145,30.0,AU
DLN,-34.7233,149.1789,565.0,AU
DPH,-12.4667,130.8423,45.0,AU
DRS,-12.4313,130.8993,44.0,AU
EIDS,-25.3691,151.0817,216.0,AU
FORT,-30.779,128.059,165.0,AU
GC1S,-28.1617,153.5115,11.0,AU
GC2F,-27.9122,153.3958,12.0,AU
GD1S,-23.8421,151.169,5.0,AU
GEES,-41.4454,147.1236,0.0,AU
GEXS,-38.2008,144.29,10.0,AU
GHSS,-34.9194,138.6017,42.0,AU
GIRL,-22.643,114.234,111.0,AU
GLAD,-40.9825,148.01,146.0,AU
GVL,-37.6214,144.899,185.0,AU
HTT,-33.4306,138.9217,708.0,AU
INKA,-27.741,140.7456,112.0,AU
KAKA,-12.7115,132.4396,100.0,AU
KDU,-12.6869,132.4727,46.0,AU
KLBR,-31.5915,117.7546,320.0,AU
KMBL,-31.3669,121.8821,370.0,AU
KNA,-15.75,128.7667,150.0,AU
KNRA,-15.6769,128.7627,101.0,AU
LCRK,-30.4472,138.2162,207.0,AU
LHI,-31.52,159.0613,73.7,AU
MANU,-2.0432,147.3662,141.5,AU
MCQ,-54.4986,158.9561,14.0,AU
MEEK,-26.638,118.615,530.0,AU
MGCD,-33.2096,151.1092,285.0,AU
MILA,-37.0547,149.155,785.0,AU
MLBS,-37.8291,144.894,9.0,AU
MOO,-42.4417,147.1903,325.0,AU
MORW,-29.0683,116.0388,300.0,AU
MORW,-29.0679,116.0403,296.0,AU
MTKN,-31.9333,115.7737,57.0,AU
MTN,-12.8436,131.1327,137.4,AU
MTSU,-18.1482,144.3195,460.0,AU
MULG,-30.2818,134.0585,254.7,AU
MUN,-31.9783,116.2083,253.0,AU
NAPP,-33.1828,138.1478,181.0,AU
NFK,-29.0433,167.9389,203.0,AU
NIUE,-19.0763,-169.9272,108.8,AU
NRFK,-29.04,167.963,196.0,AU
NTLH,-32.8983,151.703,64.0,AU
NTLS,-32.932,151.7625,13.0,AU
OOD,-27.7944,135.688,162.2,AU
PSA00,-21.5725,119.8458,305.0,AU
PSAA1,-21.576688,119.836227,325.0,AU
PSAA2,-21.562828,119.846697,330.0,AU
PSAA3,-21.578084,119.854873,315.0,AU
PSAB1,-21.568909,119.821869,317.0,AU
PSAB2,-21.55485,119.861054,302.0,AU
PSAB3,-21.59324,119.854675,327.0,AU
PSAC1,-21.533708,119.809315,303.0,AU
PSAC2,-21.56252,119.900438,330.0,AU
PSAC3,-21.621358,119.827746,352.0,AU
PSAD1,-21.455038,119.830157,280.0,AU
PSAD2,-21.617131,119.9624,366.0,AU
PSAD3,-21.642984,119.779858,327.0,AU
PTPS,-33.1725,137.9943,9.0,AU
QIS,-20.5577,139.6052,450.0,AU
QLP,-26.5837,144.235,210.0,AU
RABL,-4.1911,152.1637,277.0,AU
RIV,-33.8294,151.1583,25.0,AU
RK1H,-23.3876,150.4939,66.0,AU
RK2S,-23.3102,150.5216,36.0,AU
RKGY,-34.6094,116.9773,30.0,AU
RMQ,-26.489,148.755,360.0,AU
SYDH,-33.7619,150.7417,55.0,AU
SYDS,-33.9297,151.2243,27.0,AU
TOO,-37.5714,145.4906,604.0,AU
TV1H,-19.2614,146.7954,65.0,AU
TV2S,-19.2904,146.7887,25.0,AU
TW1H,-27.5442,151.972,730.0,AU
TWOA,-35.0313,138.5793,168.0,AU
WB0,-19.7671,134.3927,392.0,AU
