station_code,latitude,longitude,elevation,network_code
BL20,-27.373,133.5332,317.0,7W
BL21,-27.9307,134.1628,274.0,7W
BL22,-28.9977,134.4066,201.0,7W
BL23,-30.1934,134.6285,162.0,7W
BL24,-31.2769,135.2829,167.0,7W
BL25,-32.146,135.0909,307.0,7W
BL08,-20.5914,134.2961,477.0,7W
BL09,-21.1143,134.025,439.0,7W
BL06,-18.8731,134.0455,305.0,7W
BL07,-19.9213,134.3301,388.0,7W
BL04,-19.3321,135.371,233.0,7W
BL05,-19.432,134.5445,284.0,7W
BL02,-19.871,136.9541,232.0,7W
BL03,-19.7406,136.1458,229.0,7W
BL01,-19.9264,137.7815,241.0,7W
BL19,-26.6718,133.3098,392.0,7W
BL18,-26.1459,133.295,467.0,7W
BL11,-22.1527,133.4898,560.0,7W
BL10,-21.5827,133.7128,488.0,7W
BL13,-23.4014,133.4827,669.0,7W
BL12,-22.7386,133.4806,641.0,7W
BL15,-24.3875,133.2872,480.0,7W
BL14,-23.9299,133.3677,606.0,7W
BL17,-25.5487,133.1111,133.1111,7W
BL16,-24.9232,133.3019,401.0,7W
