#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
1A|PORMA||BHZ|-66.8176|141.395|8.0|0.0|0.0|-90.0||||||2009-11-04T00:00:00|2011-01-10T23:59:59
1A|PORMA||BHZ|-66.8176|141.395|8.0|0.0|0.0|-90.0||||||2011-01-11T00:00:00|2012-12-31T23:59:59
1B|KILE||HHZ|0.2003|30.008|1372.0|0.0|0.0|-90.0||||||2006-06-24T00:00:00|2007-09-23T00:00:00
1B|KILE||HHZ|0.2003|30.008|1372.0|0.0|0.0|-90.0||||||2007-01-06T00:00:00|2007-05-10T00:00:00
1B|KILE||HHZ|0.2003|30.008|1372.0|0.0|0.0|-90.0||||||2008-03-23T00:00:00|2008-12-31T00:00:00
1F|N118||LHZ|24.06|121.174|1850.0|0.0|0.0|-90.0||||||2008-02-16T00:00:00|2008-03-22T23:59:59
1G|SA19||HHZ|66.5538|22.19|300.0|0.0|0.0|-90.0||||||2014-09-18T00:00:00|2017-12-31T00:00:00
1G|SA29||HHZ|65.2845|19.848|100.0|0.0|0.0|-90.0||||||2014-09-21T00:00:00|2017-12-31T00:00:00
1G|SA60||HHZ|61.691|17.378|100.0|0.0|0.0|-90.0||||||2014-09-13T00:00:00|2017-12-31T00:00:00
3A|VIRHO||HHZ|-15.4465|167.203|56.0|0.0|0.0|-90.0||||||2008-04-09T00:00:00|2009-04-24T23:59:59
4A|DAR2||HHZ|-43.4201|172.355|150.0|0.0|0.0|-90.0||||||2010-09-01T00:00:00|2011-01-13T23:59:59
5C|JOR2||HHZ|39.0992|70.583|1650.0|0.0|0.0|-90.0||||||2012-06-16T00:00:00|2013-12-13T00:00:00
5E|S204||HHZ|-21.319|-69.896|1015.0|0.0|0.0|-90.0||||||2011-01-01T00:00:00|2013-12-31T00:00:00
5E|S207||HHZ|-21.319|-69.896|1015.0|0.0|0.0|-90.0||||||2011-01-01T00:00:00|2013-12-31T00:00:00
6A|V01||HHZ|50.2334|12.317|629.0|0.0|0.0|-90.0||||||2008-10-16T00:00:00|2009-03-18T00:00:00
6A|V02||HHZ|50.2334|12.317|629.0|0.0|0.0|-90.0||||||2008-10-16T00:00:00|2009-03-18T00:00:00
6A|V03||HHZ|50.2334|12.317|629.0|0.0|0.0|-90.0||||||2008-10-16T00:00:00|2009-03-18T00:00:00
6A|V04||HHZ|50.2334|12.317|629.0|0.0|0.0|-90.0||||||2008-10-16T00:00:00|2009-03-18T00:00:00
6A|V05||HHZ|50.2334|12.317|629.0|0.0|0.0|-90.0||||||2008-10-16T00:00:00|2009-03-18T00:00:00
6A|V07||HHZ|50.2334|12.317|629.0|0.0|0.0|-90.0||||||2008-10-16T00:00:00|2009-03-18T00:00:00
6A|V08||HHZ|50.2334|12.317|629.0|0.0|0.0|-90.0||||||2008-10-16T00:00:00|2009-03-18T00:00:00
6A|V09||HHZ|50.2334|12.317|629.0|0.0|0.0|-90.0||||||2008-10-16T00:00:00|2009-03-18T00:00:00
6A|V10||HHZ|50.2334|12.317|629.0|0.0|0.0|-90.0||||||2008-10-16T00:00:00|2009-03-18T00:00:00
6A|V11||HHZ|50.2334|12.317|629.0|0.0|0.0|-90.0||||||2008-10-16T00:00:00|2009-03-18T00:00:00
6A|V12||HHZ|50.2334|12.317|629.0|0.0|0.0|-90.0||||||2008-10-16T00:00:00|2009-03-18T00:00:00
6A|WP02||HHZ|-21.304|14.475|677.0|0.0|0.0|-90.0||||||2010-10-25T00:00:00|2012-11-06T00:00:00
6A|WP04||HHZ|-21.2296|14.901|863.0|0.0|0.0|-90.0||||||2010-10-26T00:00:00|2012-06-16T00:00:00
6A|WP05||HHZ|-20.5432|14.462|604.0|0.0|0.0|-90.0||||||2010-10-27T00:00:00|2012-11-07T00:00:00
6A|WP06||HHZ|-20.2135|15.013|1080.0|0.0|0.0|-90.0||||||2010-10-28T00:00:00|2011-04-03T00:00:00
6A|WP06||HHZ|-20.2135|15.013|1080.0|0.0|0.0|-90.0||||||2011-05-13T00:00:00|2011-05-28T00:00:00
6A|WP06||HHZ|-20.2135|15.013|1080.0|0.0|0.0|-90.0||||||2011-05-28T00:00:00|2012-08-09T00:00:00
6A|WP08||HHZ|-19.8737|12.977|6.0|0.0|0.0|-90.0||||||2010-11-01T00:00:00|2012-11-08T00:00:00
6A|WP20||HHZ|-18.6865|14.946|1139.0|0.0|0.0|-90.0||||||2010-11-15T00:00:00|2012-11-16T00:00:00
