# Lon,Lat,Depth
139.628028,-19.016001,43.7
139.717960,-19.016310,42.3
140.014735,-19.017332,37.0
140.194598,-19.017951,34.2
140.257550,-19.018168,34.8
140.473386,-19.018911,38.0
140.581304,-19.019283,38.8
140.707208,-19.019716,39.0
132.937026,-19.472933,40.8
133.098903,-19.473621,41.7
133.143869,-19.473812,42.8
133.350711,-19.474691,42.8
133.458628,-19.475149,42.0
133.566546,-19.475608,43.0
133.845333,-19.476792,47.2
134.025196,-19.477557,47.2
134.115127,-19.477939,46.6
134.294990,-19.478703,43.7
134.429887,-19.479276,44.8
134.519819,-19.479659,46.2
134.744647,-19.480614,50.0
134.879544,-19.481187,51.5
135.014441,-19.481760,51.0
135.194304,-19.482525,50.4
135.347187,-19.483174,50.0
135.509064,-19.483862,52.0
135.688926,-19.484627,51.3
135.823823,-19.485200,50.8
135.913755,-19.485582,50.1
136.183549,-19.486728,48.6
136.273480,-19.487111,46.0
136.363412,-19.487493,44.0
136.633206,-19.488639,49.0
136.723137,-19.489021,49.0
136.831055,-19.489480,45.0
136.903000,-19.489786,44.2
137.082863,-19.490550,48.0
137.262725,-19.491314,48.2
137.352657,-19.491696,48.2
137.577485,-19.492652,48.2
137.667417,-19.493034,48.0
137.847279,-19.493798,47.0
138.027142,-19.494563,45.7
138.162039,-19.495136,44.0
138.296936,-19.495709,44.0
138.521765,-19.496665,44.3
138.656662,-19.497238,44.0
138.791559,-19.497811,44.3
138.971421,-19.498575,44.8
139.151284,-19.499340,45.5
139.286181,-19.499913,46.8
132.871202,-20.003959,44.5
133.006100,-20.003900,43.5
133.096032,-20.003861,43.0
133.320863,-20.003763,42.0
133.455761,-20.003705,42.0
133.590659,-20.003646,42.3
133.815490,-20.003549,43.5
133.950388,-20.003490,44.0
134.040320,-20.003451,45.0
134.804743,-20.003119,47.0
134.894676,-20.003080,46.0
135.029574,-20.003021,47.5
135.119506,-20.002982,51.0
135.254404,-20.002924,50.2
135.389303,-20.002865,48.0
135.659099,-20.002748,45.5
135.749031,-20.002709,44.8
135.928896,-20.002631,44.0
136.198692,-20.002514,43.2
136.333590,-20.002455,43.0
136.423523,-20.002416,43.0
136.603387,-20.002338,43.2
136.738285,-20.002279,43.5
136.828217,-20.002240,44.0
137.098014,-20.002123,47.5
137.277878,-20.002045,49.5
137.367810,-20.002006,49.8
137.547675,-20.001928,49.8
137.682573,-20.001869,49.5
137.772505,-20.001830,49.0
137.997336,-20.001733,48.0
138.132234,-20.001674,47.0
138.267132,-20.001615,46.0
138.536929,-20.001498,44.8
138.626861,-20.001459,45.0
138.716793,-20.001420,45.5
138.986590,-20.001303,44.0
139.076522,-20.001264,43.0
139.211420,-20.001205,42.5
132.862102,-20.486354,44.0
132.952034,-20.486651,43.5
133.041966,-20.486949,43.0
133.311761,-20.487840,41.0
133.401693,-20.488137,40.3
133.491624,-20.488434,39.6
133.851351,-20.489623,38.8
133.986249,-20.490069,40.0
134.076180,-20.490366,40.8
134.345975,-20.491257,43.8
134.525839,-20.491851,45.0
134.615770,-20.492149,44.8
134.750668,-20.492594,44.0
134.885566,-20.493040,43.6
134.975497,-20.493337,44.0
135.200326,-20.494080,46.0
135.335224,-20.494526,47.2
135.425156,-20.494823,47.0
135.649985,-20.495566,44.8
135.829848,-20.496160,43.0
135.919780,-20.496457,42.5
136.144609,-20.497200,41.0
136.279507,-20.497646,41.0
136.369438,-20.497943,41.0
136.594268,-20.498686,59.0
136.774131,-20.499280,57.4
136.909029,-20.499726,56.2
137.043926,-20.500171,55.0
137.178824,-20.500617,54.0
137.358687,-20.501211,52.3
137.628482,-20.502103,50.0
137.718414,-20.502400,47.5
137.808345,-20.502697,46.0
137.988209,-20.503291,45.2
138.168072,-20.503886,45.2
138.258004,-20.504183,45.2
138.482833,-20.504926,45.1
138.617731,-20.505371,45.0
138.752628,-20.505817,44.6
132.856307,-20.997107,46.7
132.991205,-20.997177,44.3
133.081137,-20.997224,43.0
133.350934,-20.997365,41.0
133.485832,-20.997435,40.8
133.575764,-20.997482,40.5
133.800595,-20.997600,40.8
