Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
AU|ARPS||SHN|-36.769901|141.838303|213|1|0|0|Guralp CMG40T_1sec/Quanterra 330HR Linear Phase Be|1.31169997E9|2|M/S|40|2010-03-18T00:00:00|2599-12-31T23:59:59
AU|ARPS||SHZ|-36.769901|141.838303|213|0|0|-90|Guralp CMG40T_1sec/GDAS|6.2469197E8|2|M/S|20|2003-06-29T00:00:00|2010-03-17T23:59:59
AU|ARPS||SHZ|-36.769901|141.838303|213|1|0|-90|Guralp CMG40T_1sec/Quanterra 330HR Linear Phase Be|1.31169997E9|2|M/S|40|2010-03-18T00:00:00|2599-12-31T23:59:59
AU|ARPS||VCO|-36.769901|141.838303|213|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|6.66667|0|V|0.1|2010-03-18T00:00:00|2599-12-31T23:59:59
AU|ARPS||VEA|-36.769901|141.838303|213|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|1000.0|0|A|0.1|2010-03-18T00:00:00|2599-12-31T23:59:59
AU|ARPS||VEC|-36.769901|141.838303|213|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|1000.0|0|A|0.1|2010-03-18T00:00:00|2599-12-31T23:59:59
AU|ARPS||VEP|-36.769901|141.838303|213|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|6.66667|0|V|0.1|2010-03-18T00:00:00|2599-12-31T23:59:59
AU|ARPS||VKI|-36.769901|141.838303|213|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|1.0|0|CELSIUS|0.1|2010-03-18T00:00:00|2599-12-31T23:59:59
AU|ARPS||VMU|-36.769901|141.838303|213|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|10.0|0|V|0.1|2010-03-18T00:00:00|2599-12-31T23:59:59
AU|ARPS||VMV|-36.769901|141.838303|213|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|10.0|0|V|0.1|2010-03-18T00:00:00|2599-12-31T23:59:59
AU|ARPS||VMW|-36.769901|141.838303|213|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|10.0|0|V|0.1|2010-03-18T00:00:00|2599-12-31T23:59:59
AU|ARPS||VPB|-36.769901|141.838303|213|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|10.0|0|PERCENT|0.1|2010-03-18T00:00:00|2599-12-31T23:59:59
AU|AS01||SHZ|-23.664700|133.950806|605|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS01||SHZ|-23.664700|133.950806|605|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS01||SHZ|-23.664700|133.950806|605|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS02||SHZ|-23.679199|133.936905|649|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS02||SHZ|-23.679199|133.936905|649|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS02||SHZ|-23.679199|133.936905|649|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS03||SHZ|-23.677401|133.919693|643.3|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS03||SHZ|-23.677401|133.919693|643.3|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS03||SHZ|-23.677401|133.919693|643.3|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2010-02-17T23:59:59
AU|AS03||SHZ|-23.677401|133.919693|643.3|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2010-02-18T00:00:00|2010-07-25T23:59:59
AU|AS03||SHZ|-23.677401|133.919693|643.3|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2010-07-26T00:00:00|2599-12-31T23:59:59
AU|AS04||SHZ|-23.659700|133.929199|666.3|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS04||SHZ|-23.659700|133.929199|666.3|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS04||SHZ|-23.659700|133.929199|666.3|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS05||SHZ|-23.649200|133.947495|683.2|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS05||SHZ|-23.649200|133.947495|683.2|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS05||SHZ|-23.649200|133.947495|683.2|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS06||SHZ|-23.647499|133.971405|663.2|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS06||SHZ|-23.647499|133.971405|663.2|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS06||SHZ|-23.647499|133.971405|663.2|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS07||SHZ|-23.665600|133.969696|613.7|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS07||SHZ|-23.665600|133.969696|613.7|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS07||SHZ|-23.665600|133.969696|613.7|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS08||SHZ|-23.681400|133.960007|594.3|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS08||SHZ|-23.681400|133.960007|594.3|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS08||SHZ|-23.681400|133.960007|594.3|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS09||SHZ|-23.699400|133.941406|591.2|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS09||SHZ|-23.699400|133.941406|591.2|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS09||SHZ|-23.699400|133.941406|591.2|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS10||SHZ|-23.696899|133.913895|607.4|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS10||SHZ|-23.696899|133.913895|607.4|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS10||SHZ|-23.696899|133.913895|607.4|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS11||SHZ|-23.678301|133.897797|608.3|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS11||SHZ|-23.678301|133.897797|608.3|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS11||SHZ|-23.678301|133.897797|608.3|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS12||SHZ|-23.666401|133.904404|607.4|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS12||SHZ|-23.666401|133.904404|607.4|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS12||SHZ|-23.666401|133.904404|607.4|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS13||SHZ|-23.651899|133.894394|603.9|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS13||SHZ|-23.651899|133.894394|603.9|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS13||SHZ|-23.651899|133.894394|603.9|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS14||SHZ|-23.651699|133.910294|619.6|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS14||SHZ|-23.651699|133.910294|619.6|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS14||SHZ|-23.651699|133.910294|619.6|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS15||SHZ|-23.635599|133.912201|668.7|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS15||SHZ|-23.635599|133.912201|668.7|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS15||SHZ|-23.635599|133.912201|668.7|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS16||SHZ|-23.636900|133.929993|675.8|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS16||SHZ|-23.636900|133.929993|675.8|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS16||SHZ|-23.636900|133.929993|675.8|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS17||SHZ|-23.664400|133.991699|614.6|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS17||SHZ|-23.664400|133.991699|614.6|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS17||SHZ|-23.664400|133.991699|614.6|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS18||SHZ|-23.690001|133.980804|591.7|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS18||SHZ|-23.690001|133.980804|591.7|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS18||SHZ|-23.690001|133.980804|591.7|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS19||SHZ|-23.704399|133.962494|576.7|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2003-08-13T07:00:00|2005-06-08T23:59:59
AU|AS19||SHZ|-23.704399|133.962494|576.7|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS19||SHZ|-23.704399|133.962494|576.7|27.4|0|90|Geotech 23900/AIMS-24S Datalogger|1.61712005E10|2|M/S|20|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS31||BHE|-23.666000|133.904007|607|0|90|0|Guralp CMG3T_120sec/AIMS-24S Datalogger|6.5762599E10|0.2|M/S|40|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS31||BHE|-23.666000|133.904007|607|51.8|90|0|Guralp CMG3T/AIMS-24S Datalogger|6.51938E10|0.2|M/S|40|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS31||BHN|-23.666000|133.904007|607|0|0|0|Guralp CMG3T_120sec/AIMS-24S Datalogger|6.5762599E10|0.2|M/S|40|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS31||BHN|-23.666000|133.904007|607|51.8|0|0|Guralp CMG3T/AIMS-24S Datalogger|6.51938E10|0.2|M/S|40|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS31||BHZ|-23.666000|133.904007|607|0|0|-90|Guralp CMG3T_120sec/AIMS-24S Datalogger|6.5762599E10|0.2|M/S|40|2005-06-21T00:00:00|2008-11-25T23:59:59
AU|AS31||BHZ|-23.666000|133.904007|607|51.8|0|-90|Guralp CMG3T/AIMS-24S Datalogger|6.51938E10|0.2|M/S|40|2008-11-26T00:00:00|2599-12-31T23:59:59
AU|AS31||BNE|-23.666000|133.904007|607|51.8|90|0|Guralp CMG3T_AS31/AIMS-24S Datalogger|2.52414003E9|0.1|M/S**2|40|2005-06-21T00:00:00|2008-11-26T00:00:00
AU|AS31||BNE|-23.666000|133.904007|607|51.8|90|0|Guralp CMG3T_AS31/AIMS-24S Datalogger|2.52414003E9|0.1|M/S**2|40|2008-11-26T00:00:00|2010-07-14T00:00:00
AU|AS31||BNE|-23.666000|133.904007|607|51.8|90|0|Guralp CMG3T_AS31/AIMS-24S Datalogger|2.52414003E9|0.1|M/S**2|40|2010-07-14T00:00:00|2599-12-31T23:59:59
AU|AS31||BNN|-23.666000|133.904007|607|51.8|0|0|Guralp CMG3T_AS31/AIMS-24S Datalogger|2.52414003E9|0.1|M/S**2|40|2005-06-21T00:00:00|2008-11-26T00:00:00
AU|AS31||BNN|-23.666000|133.904007|607|51.8|0|0|Guralp CMG3T_AS31/AIMS-24S Datalogger|2.52414003E9|0.1|M/S**2|40|2008-11-26T00:00:00|2010-07-14T00:00:00
AU|AS31||BNN|-23.666000|133.904007|607|51.8|0|0|Guralp CMG3T_AS31/AIMS-24S Datalogger|2.52414003E9|0.1|M/S**2|40|2010-07-14T00:00:00|2599-12-31T23:59:59
AU|AS31||BNZ|-23.666000|133.904007|607|51.8|0|-90|Guralp CMG3T_AS31/AIMS-24S Datalogger|2.52414003E9|0.1|M/S**2|40|2005-06-21T00:00:00|2008-11-26T00:00:00
AU|AS31||BNZ|-23.666000|133.904007|607|51.8|0|-90|Guralp CMG3T_AS31/AIMS-24S Datalogger|2.52414003E9|0.1|M/S**2|40|2008-11-26T00:00:00|2010-07-14T00:00:00
AU|AS31||BNZ|-23.666000|133.904007|607|51.8|0|-90|Guralp CMG3T_AS31/AIMS-24S Datalogger|2.52414003E9|0.1|M/S**2|40|2010-07-14T00:00:00|2599-12-31T23:59:59
AU|AXCOZ|0K|HHE|-22.960800|145.251099|226|0|90|0|Guralp CMG3T/Dummy Datalogger used in ignorance|1.5041E8|0.8|M/S|200|2018-11-30T00:00:00|2599-12-31T23:59:59
AU|AXCOZ|0K|HHN|-22.960800|145.251099|226|0|0|0|Guralp CMG3T/Dummy Datalogger used in ignorance|1.5041E8|0.8|M/S|200|2018-11-30T00:00:00|2599-12-31T23:59:59
AU|AXCOZ|0K|HHZ|-22.960800|145.251099|226|0|0|-90|Guralp CMG3T/Dummy Datalogger used in ignorance|1.49407008E8|0.8|M/S|200|2018-11-30T00:00:00|2599-12-31T23:59:59
AU|BBOO||AX0|-32.810200|136.058807|321|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|3.2875|0|A|1|2008-11-24T00:00:00|2599-12-31T23:59:59
AU|BBOO||BHE|-32.809601|136.058304|295|0|90|0|Guralp CMG40T_60sec/GDAS|1.61564992E8|0.3|M/S|20|2004-08-09T00:00:00|2005-05-25T23:59:59
AU|BBOO||BHE|-32.809601|136.058304|295|0|90|0|Guralp CMG3ESP_100sec/GDAS|4.01288992E8|0.2|M/S|20|2005-05-26T00:00:00|2008-11-23T23:59:59
AU|BBOO||BHE|-32.810200|136.058807|321|3|90|0|Streckeisen STS-2/Quanterra 330HR Linear Phase Bel|2.50657997E9|5|M/S|40|2008-11-24T00:00:00|2599-12-31T23:59:59
AU|BBOO||BHN|-32.809601|136.058304|295|0|0|0|Guralp CMG40T_60sec/GDAS|1.61606E8|0.3|M/S|20|2004-08-09T00:00:00|2005-05-25T23:59:59
AU|BBOO||BHN|-32.809601|136.058304|295|0|0|0|Guralp CMG3ESP_100sec/GDAS|4.01692992E8|0.2|M/S|20|2005-05-26T00:00:00|2008-11-23T23:59:59
AU|BBOO||BHN|-32.810200|136.058807|321|3|0|0|Streckeisen STS-2/Quanterra 330HR Linear Phase Bel|2.50657997E9|5|M/S|40|2008-11-24T00:00:00|2599-12-31T23:59:59
AU|BBOO||BHZ|-32.809601|136.058304|295|0|0|-90|Guralp CMG40T_60sec/GDAS|1.61484E8|0.3|M/S|20|2004-08-09T00:00:00|2005-05-25T23:59:59
AU|BBOO||BHZ|-32.809601|136.058304|295|0|0|-90|Guralp CMG3ESP_100sec/GDAS|4.01288992E8|0.2|M/S|20|2005-05-26T00:00:00|2008-11-23T23:59:59
AU|BBOO||BHZ|-32.810200|136.058807|321|3|0|-90|Streckeisen STS-2/Quanterra 330HR Linear Phase Bel|2.50657997E9|5|M/S|40|2008-11-24T00:00:00|2599-12-31T23:59:59
AU|BBOO||LCE|-32.810200|136.058807|321|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|1000000.0|0|S|1|2008-11-24T00:00:00|2599-12-31T23:59:59
AU|BBOO||LCQ|-32.810200|136.058807|321|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|1.0|0|PERCENT|1|2008-11-24T00:00:00|2599-12-31T23:59:59
AU|BBOO||VCO|-32.810200|136.058807|321|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|6.66667|0|V|0.1|2008-11-24T00:00:00|2599-12-31T23:59:59
AU|BBOO||VEA|-32.810200|136.058807|321|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|1000.0|0|A|0.1|2008-11-24T00:00:00|2599-12-31T23:59:59
AU|BBOO||VEC|-32.810200|136.058807|321|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|1000.0|0|A|0.1|2008-11-24T00:00:00|2599-12-31T23:59:59
AU|BBOO||VEP|-32.810200|136.058807|321|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|6.66667|0|V|0.1|2008-11-24T00:00:00|2599-12-31T23:59:59
AU|BBOO||VKI|-32.810200|136.058807|321|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|1.0|0|CELSIUS|0.1|2008-11-24T00:00:00|2599-12-31T23:59:59
AU|BBOO||VMU|-32.810200|136.058807|321|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|10.0|0|V|0.1|2008-11-24T00:00:00|2599-12-31T23:59:59
AU|BBOO||VMV|-32.810200|136.058807|321|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|10.0|0|V|0.1|2008-11-24T00:00:00|2599-12-31T23:59:59
AU|BBOO||VMW|-32.810200|136.058807|321|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|10.0|0|V|0.1|2008-11-24T00:00:00|2599-12-31T23:59:59
AU|BBOO||VPB|-32.810200|136.058807|321|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|10.0|0|PERCENT|0.1|2008-11-24T00:00:00|2599-12-31T23:59:59
AU|BLDU||AX0|-30.614700|116.709099|280|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|3.2875|0|A|1|2008-05-12T00:00:00|2599-12-31T23:59:59
AU|BLDU||BHE|-30.614700|116.709099|280|0|90|0|Guralp CMG3T_100sec/GDAS|7.9551504E7|0.2|M/S|20|2003-05-27T00:00:00|2003-06-19T23:59:59
