Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
AU|ARMA||AX0|-30.418301|151.629303|1112|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|3.2875|0|A|1|2007-11-19T00:00:00|2599-12-31T23:59:59
AU|ARMA||BHE|-30.419800|151.628006|1112|0|90|0|Guralp CMG3T/GDAS|7.51168E7|0.2|M/S|20|2004-03-19T00:00:00|2004-10-27T23:59:59
AU|ARMA||BHE|-30.419800|151.628006|1112|0|90|0|Guralp CMG40T_60sec/GDAS|1.61564992E8|0.3|M/S|20|2004-10-28T00:00:00|2006-12-05T23:59:59
AU|ARMA||BHE|-30.419800|151.628006|1112|0|90|0|Guralp CMG40T_60sec/GDAS|1.61564992E8|0.3|M/S|20|2006-12-06T00:00:00|2007-11-18T23:59:59
AU|ARMA||BHE|-30.418301|151.629303|1112|3|90|0|Streckeisen STS-2/Quanterra 330HR Linear Phase Bel|2.50657997E9|5|M/S|40|2007-11-19T00:00:00|2599-12-31T23:59:59
AU|ARMA||BHN|-30.419800|151.628006|1112|0|0|0|Guralp CMG3T/GDAS|7.51168E7|0.2|M/S|20|2004-03-19T00:00:00|2004-10-27T23:59:59
AU|ARMA||BHN|-30.419800|151.628006|1112|0|0|0|Guralp CMG40T_60sec/GDAS|1.61606E8|0.3|M/S|20|2004-10-28T00:00:00|2006-12-05T23:59:59
AU|ARMA||BHN|-30.419800|151.628006|1112|0|0|0|Guralp CMG40T_60sec/GDAS|1.61606E8|0.3|M/S|20|2006-12-06T00:00:00|2007-11-18T23:59:59
AU|ARMA||BHN|-30.418301|151.629303|1112|3|0|0|Streckeisen STS-2/Quanterra 330HR Linear Phase Bel|2.50657997E9|5|M/S|40|2007-11-19T00:00:00|2599-12-31T23:59:59
AU|ARMA||BHZ|-30.419800|151.628006|1112|0|0|-90|Guralp CMG3T/GDAS|7.51168E7|0.2|M/S|20|2004-03-19T00:00:00|2004-10-27T23:59:59
AU|ARMA||BHZ|-30.419800|151.628006|1112|0|0|-90|Guralp CMG40T_60sec/GDAS|1.61484E8|0.3|M/S|20|2004-10-28T00:00:00|2006-12-05T23:59:59
AU|ARMA||BHZ|-30.419800|151.628006|1112|0|0|-90|Guralp CMG40T_60sec/GDAS|1.61484E8|0.3|M/S|20|2006-12-06T00:00:00|2007-11-18T23:59:59
AU|ARMA||BHZ|-30.418301|151.629303|1112|3|0|-90|Streckeisen STS-2/Quanterra 330HR Linear Phase Bel|2.50657997E9|5|M/S|40|2007-11-19T00:00:00|2599-12-31T23:59:59
AU|ARMA||LCE|-30.418301|151.629303|1112|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|1000000.0|0|S|1|2007-11-19T00:00:00|2599-12-31T23:59:59
AU|ARMA||LCQ|-30.418301|151.629303|1112|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|1.0|0|PERCENT|1|2007-11-19T00:00:00|2599-12-31T23:59:59
AU|ARMA||VCO|-30.418301|151.629303|1112|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|6.66667|0|V|0.1|2007-11-19T00:00:00|2599-12-31T23:59:59
AU|ARMA||VEA|-30.418301|151.629303|1112|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|1000.0|0|A|0.1|2007-11-19T00:00:00|2599-12-31T23:59:59
AU|ARMA||VEC|-30.418301|151.629303|1112|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|1000.0|0|A|0.1|2007-11-19T00:00:00|2599-12-31T23:59:59
AU|ARMA||VEP|-30.418301|151.629303|1112|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|6.66667|0|V|0.1|2007-11-19T00:00:00|2599-12-31T23:59:59
AU|ARMA||VKI|-30.418301|151.629303|1112|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|1.0|0|CELSIUS|0.1|2007-11-19T00:00:00|2599-12-31T23:59:59
AU|ARMA||VMU|-30.418301|151.629303|1112|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|10.0|0|V|0.1|2007-11-19T00:00:00|2599-12-31T23:59:59
AU|ARMA||VMV|-30.418301|151.629303|1112|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|10.0|0|V|0.1|2007-11-19T00:00:00|2599-12-31T23:59:59
AU|ARMA||VMW|-30.418301|151.629303|1112|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|10.0|0|V|0.1|2007-11-19T00:00:00|2599-12-31T23:59:59
AU|ARMA||VPB|-30.418301|151.629303|1112|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|10.0|0|PERCENT|0.1|2007-11-19T00:00:00|2599-12-31T23:59:59
AU|ARPS||LCE|-36.769901|141.838303|213|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|1000000.0|0|S|1|2010-03-18T00:00:00|2599-12-31T23:59:59
AU|ARPS||LCQ|-36.769901|141.838303|213|0|0|0|Quanterra 330HR Linear Phase Below 100 Composite|1.0|0|PERCENT|1|2010-03-18T00:00:00|2599-12-31T23:59:59
AU|ARPS||SHE|-36.769901|141.838303|213|0|90|0|Guralp CMG40T_1sec/GDAS|6.2469197E8|2|M/S|20|2003-06-29T00:00:00|2010-03-17T23:59:59
AU|ARPS||SHE|-36.769901|141.838303|213|1|90|0|Guralp CMG40T_1sec/Quanterra 330HR Linear Phase Be|1.31169997E9|2|M/S|40|2010-03-18T00:00:00|2599-12-31T23:59:59
AU|ARPS||SHN|-36.769901|141.838303|213|0|0|0|Guralp CMG40T_1sec/GDAS|6.2469197E8|2|M/S|20|2003-06-29T00:00:00|2010-03-17T23:59:59
