net,sta,date,clock_correction
OA,CF28,2018-01-04,-1.3375814425470127
OA,CF28,2018-01-05,-1.110449564656099
OA,CF28,2018-01-06,-0.9032476255118933
OA,CF28,2018-01-07,-0.715187056990143
OA,CF28,2018-01-08,-0.5454903733042684
OA,CF28,2018-01-09,-0.39339117100536475
OA,CF28,2018-01-10,-0.25813412898219795
OA,CF28,2018-01-11,-0.13897500846120953
OA,CF28,2018-01-12,-0.035180653006512165
OA,CF28,2018-01-13,0.05397101148010767
OA,CF28,2018-01-14,0.1291909767591893
OA,CF28,2018-01-15,0.19117915225360035
OA,CF28,2018-01-16,0.24062436504853446
OA,CF28,2018-01-17,0.2782043598915128
OA,CF28,2018-01-18,0.3045857991923828
OA,CF28,2018-01-19,0.320424263023319
OA,CF28,2018-01-20,0.3263642491188234
OA,CF28,2018-01-21,0.3230391728757227
OA,CF28,2018-01-22,0.3110713673531733
OA,CF28,2018-01-23,0.2910720832726569
OA,CF28,2018-01-24,0.263641489017982
OA,CF28,2018-01-25,0.22936867063528465
OA,CF28,2018-01-26,0.18883163183302693
OA,CF28,2018-01-27,0.14259729398199872
OA,CF28,2018-01-28,0.09122149611531585
OA,CF28,2018-01-29,0.03524899492842107
OA,CF28,2018-01-30,-0.024786535220915056
OA,CF28,2018-01-31,-0.08836250231259594
OA,CF28,2018-02-01,-0.1549673966641976
OA,CF28,2018-02-02,-0.22410079093097024
OA,CF28,2018-02-03,-0.29527334010583617
OA,CF28,2018-02-04,-0.3680067815193899
OA,CF28,2018-02-05,-0.44183393483990346
OA,CF28,2018-02-06,-0.5162987020733149
OA,CF28,2018-02-07,-0.5909560675632431
OA,CF28,2018-02-08,-0.6653720979909733
OA,CF28,2018-02-09,-0.7391239423754692
OA,CF28,2018-02-10,-0.8117998320733649
OA,CF28,2018-02-11,-0.8829990807789674
OA,CF28,2018-02-12,-0.9523320845242573
OA,CF28,2018-02-13,-1.0194203216788909
OA,CF28,2018-02-14,-1.0838963529501937
OA,CF28,2018-02-15,-1.145403821383166
OA,CF28,2018-02-16,-1.203597452360482
OA,CF28,2018-02-17,-1.2581430536024876
OA,CF28,2018-02-18,-1.3087175151672024
OA,CF28,2018-02-19,-1.3550088094503208
OA,CF28,2018-02-20,-1.3967159911852056
OA,CF28,2018-02-21,-1.4335491974429004
OA,CF28,2018-02-22,-1.465229647632115
OA,CF28,2018-02-23,-1.4914896434992346
OA,CF28,2018-02-24,-1.5120725691283183
OA,CF28,2018-02-25,-1.5267328909410989
OA,CF28,2018-02-26,-1.5352361576969797
OA,CF28,2018-02-27,-1.5373590004930386
OA,CF28,2018-02-28,-1.5328891327640284
OA,CF28,2018-03-01,-1.5216253502823727
OA,CF28,2018-03-02,-1.5033775311581687
OA,CF28,2018-03-03,-1.4779666358391872
OA,CF28,2018-03-04,-1.4452247071108721
OA,CF28,2018-03-05,-1.404994870096339
OA,CF28,2018-03-06,-1.3571313322563816
OA,CF28,2018-03-07,-1.301499383389459
OA,CF28,2018-03-08,-1.2379753956317097
OA,CF28,2018-03-09,-1.166446823456942
OA,CF28,2018-03-10,-1.0868122036766388
OA,CF28,2018-03-11,-0.9989811554399568
OA,CF28,2018-03-12,-0.9028743802337234
OA,CF28,2018-03-13,-0.7984236618824418
OA,CF28,2018-03-14,-0.6855718665482871
OA,CF28,2018-03-15,-0.5642729427311075
OA,CF28,2018-03-16,-0.43449192126842506
OA,CF28,2018-03-17,-0.29620491533543225
OA,CF28,2018-03-18,-0.14939912044499915
OA,CF28,2018-03-19,0.005927185552335512
OA,CF28,2018-03-20,0.1697646424683561
OA,CF28,2018-03-21,0.342092807777175
OA,CF28,2018-03-22,0.5228801566152339
OA,CF28,2018-03-23,0.7120841202204872
OA,CF28,2018-03-24,0.9096540073108583
OA,CF28,2018-03-25,1.1155398450979646
OA,CF28,2018-03-26,1.3296953006655596
OA,CF28,2018-03-27,1.5520777194087374
OA,CF28,2018-03-28,1.7826481250339183
OA,CF28,2018-03-29,2.0213712195588545
OA,CF28,2018-03-30,2.268215383312632
OA,CF28,2018-03-31,2.5231526749356714
OA,CF28,2018-04-01,2.786158831379721
