net,sta,date,clock_correction
OA,CF28,2018-04-02,3.057213267907864
OA,CF28,2018-04-03,3.3362990780945134
OA,CF28,2018-04-04,3.623403033825415
OA,CF28,2018-04-05,3.91851558529765
OA,CF28,2018-04-06,4.221630861019627
OA,CF28,2018-04-07,4.532746667811088
OA,CF28,2018-04-08,4.8518644908031066
OA,CF28,2018-04-09,5.1789894934380944
OA,CF28,2018-04-10,5.514130517469787
OA,CF28,2018-04-11,5.8573000829632536
OA,CF28,2018-04-12,6.2085143882949
OA,CF28,2018-04-13,6.567793310152464
OA,CF28,2018-04-14,6.935160403535007
OA,CF28,2018-04-15,7.310642901752932
OA,CF28,2018-04-16,7.694271716427968
OA,CF28,2018-04-17,8.086081437493178
OA,CF28,2018-04-18,8.486110333192961
OA,CF28,2018-04-19,8.894400350083043
OA,CF28,2018-04-20,9.310997113030485
OA,CF28,2018-04-21,9.735949925213673
OA,CF28,2018-04-22,10.16931176812234
OA,CF28,2018-04-23,10.611139301557536
OA,CF28,2018-04-24,11.061492863631653
OA,CF28,2018-04-25,11.520436470768404
OA,CF28,2018-04-26,11.988037817702844
OA,CF28,2018-04-27,12.464368277481366
OA,CF28,2018-04-28,12.949502901461676
OA,CF28,2018-04-29,13.443520419312826
OA,CF28,2018-04-30,13.946503239015199
OA,CF28,2018-05-01,14.4585374468605
OA,CF28,2018-05-02,14.979712807451785
OA,CF28,2018-05-03,15.510122763703423
OA,CF28,2018-05-04,16.049864436841123
OA,CF28,2018-05-05,16.59903862640193
OA,CF28,2018-05-06,17.15774981023422
OA,CF28,2018-05-07,17.726106144497685
OA,CF28,2018-05-08,18.30421946366338
OA,CF28,2018-05-09,18.892205280513654
OA,CF28,2018-05-10,19.49018278614222
OA,CF28,2018-05-11,20.09827484995412
OA,CF28,2018-05-12,20.71660801966571
OA,CF28,2018-05-13,21.345312521304685
OA,CF28,2018-05-14,21.984522259210078
OA,CF28,2018-05-15,22.634374816032256
OA,CF28,2018-05-16,23.2950114527329
OA,CF28,2018-05-17,23.966577108585042
OA,CF28,2018-05-18,24.649220401173057
OA,CF28,2018-05-19,25.343093626392616
OA,CF28,2018-05-20,26.048352758450733
OA,CF28,2018-05-21,26.765157449865782
OA,CF28,2018-05-22,27.49367103146745
OA,CF28,2018-05-23,28.234060512396745
OA,CF28,2018-05-24,28.986496580106014
OA,CF28,2018-05-25,29.75115360035896
OA,CF28,2018-05-26,30.52820961723058
OA,CF28,2018-05-27,31.31784635310722
OA,CF28,2018-05-28,32.120249208686566
OA,CF28,2018-05-29,32.93560726297764
OA,CF28,2018-05-30,33.76411327330076
OA,CF28,2018-05-31,34.605963675287626
OA,CF28,2018-06-01,35.46135858288122
OA,CF28,2018-06-02,36.3305017883359
OA,CF28,2018-06-03,37.21360076221733
OA,CF28,2018-06-04,38.11086665340251
OA,CF28,2018-06-05,39.022514289079815
OA,CF28,2018-06-06,39.94876217474884
OA,CF28,2018-06-07,40.889832494220634
OA,CF28,2018-06-08,41.845951109617545
OA,CF28,2018-06-10,-0.17439437861636772
OA,CF28,2018-06-11,-0.17770115938069328
OA,CF28,2018-06-12,-0.18100794014501886
OA,CF28,2018-06-13,-0.1843147209093444
OA,CF28,2018-06-14,-0.18762150167366998
OA,CF28,2018-06-15,-0.19092828243799553
OA,CF28,2018-06-16,-0.1942350632023211
OA,CF28,2018-06-17,-0.19754184396664665
OA,CF28,2018-06-18,-0.2008486247309722
OA,CF28,2018-06-19,-0.20415540549529776
OA,CF28,2018-06-20,-0.20746218625962334
OA,CF28,2018-06-21,-0.21076896702394893
OA,CF28,2018-06-22,-0.21407574778827448
OA,CF28,2018-06-23,-0.21738252855260004
OA,CF28,2018-06-24,-0.2206893093169256
OA,CF28,2018-06-25,-0.22399609008125118
OA,CF28,2018-06-26,-0.2273028708455767
OA,CF28,2018-06-27,-0.23060965160990227
OA,CF28,2018-06-28,-0.23391643237422785
OA,CF28,2018-06-29,-0.23722321313855343
OA,CF28,2018-06-30,-0.240529993902879
OA,CF28,2018-07-01,-0.24383677466720455
OA,CF28,2018-07-02,-0.2471435554315301
OA,CF28,2018-07-03,-0.25045033619585566
OA,CF28,2018-07-04,-0.2537571169601812
OA,CF28,2018-07-05,-0.2570638977245068
OA,CF28,2018-07-06,-0.2603706784888324
OA,CF28,2018-07-07,-0.26367745925315794
OA,CF28,2018-07-08,-0.2669842400174835
OA,CF28,2018-07-09,-0.270291020781809
OA,CF28,2018-07-10,-0.2735978015461346
OA,CF28,2018-07-11,-0.27690458231046017
OA,CF28,2018-07-12,-0.2802113630747857
OA,CF28,2018-07-13,-0.2835181438391113
OA,CF28,2018-07-14,-0.28682492460343684
OA,CF28,2018-07-15,-0.29013170536776245
OA,CF28,2018-07-16,-0.293438486132088
OA,CF28,2018-07-17,-0.29674526689641356
OA,CF28,2018-07-18,-0.3000520476607391
OA,CF28,2018-07-19,-0.3033588284250647
OA,CF28,2018-07-20,-0.30666560918939023
OA,CF28,2018-07-21,-0.3099723899537158
OA,CF28,2018-07-22,-0.3132791707180414
OA,CF28,2018-07-23,-0.31658595148236696
OA,CF28,2018-07-24,-0.3198927322466925
OA,CF28,2018-07-25,-0.32319951301101807
OA,CF28,2018-07-26,-0.32650629377534357
OA,CF28,2018-07-27,-0.32981307453966924
OA,CF28,2018-07-28,-0.33311985530399474
OA,CF28,2018-07-29,-0.3364266360683203
OA,CF28,2018-07-30,-0.33973341683264585
OA,CF28,2018-07-31,-0.34304019759697146
OA,CF28,2018-08-01,-0.346346978361297
OA,CF28,2018-08-02,-0.3496537591256226
OA,CF28,2018-08-03,-0.35296053988994813
OA,CF28,2018-08-04,-0.3562673206542737
OA,CF28,2018-08-05,-0.35957410141859925
OA,CF28,2018-08-06,-0.3628808821829248
OA,CF28,2018-08-07,-0.3661876629472503
OA,CF28,2018-08-08,-0.36949444371157586
OA,CF28,2018-08-09,-0.37280122447590147
OA,CF28,2018-08-10,-0.37610800524022703
OA,CF28,2018-08-11,-0.3794147860045526
OA,CF28,2018-08-12,-0.38272156676887814
OA,CF28,2018-08-13,-0.38602834753320375
OA,CF28,2018-08-14,-0.3893351282975293
OA,CF28,2018-08-15,-0.39264190906185487
OA,CF28,2018-08-16,-0.3959486898261804
OA,CF28,2018-08-17,-0.399255470590506
OA,CF28,2018-08-18,-0.4025622513548316
OA,CF28,2018-08-19,-0.4058690321191571
OA,CF28,2018-08-20,-0.40917581288348265
OA,CF28,2018-08-21,-0.4124825936478082
OA,CF28,2018-08-22,-0.4157893744121338
OA,CF28,2018-08-23,-0.4190961551764594
OA,CF28,2018-08-24,-0.42240293594078493
